FagNivaa	EnhetNivaa	Vurderingsfagkode	Nasjonaltkode	Fylkekode	Organisasjonsnummer	Vurderingsfagnavn	Nasjonalt	Fylke	EnhetNavn	2024-25.Muntlig eksamen.Alle eierformer.Alle kjønn.Snittkarakter	2024-25.Muntlig eksamen.Alle eierformer.Alle kjønn.Antall elever	2024-25.Skriftlig eksamen.Alle eierformer.Alle kjønn.Snittkarakter	2024-25.Skriftlig eksamen.Alle eierformer.Alle kjønn.Antall elever	2024-25.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter	2024-25.Standpunkt.Alle eierformer.Alle kjønn.Antall elever
2	0	ENG1007	Alle	0	Alle	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Alle fylker	Alle skoler			4,2	3 173	4,5	35 107
2	1	ENG1007	I	0	I	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Alle fylker	Alle skoler			4,2	3 173	4,5	35 107
2	2	ENG1007	I	3	03	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Alle skoler			4,3	341	4,6	5 614
2	3	ENG1007	I	3	887664102	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Akademiet Oslo AS			4,4	12	4,5	154
2	3	ENG1007	I	3	988938386	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Akademiet Vgs Bislett AS					4,3	45
2	3	ENG1007	I	3	974591006	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Bjerke videregående skole					4,1	284
2	3	ENG1007	I	3	990574898	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Bjørnholt videregående skole					4,3	54
2	3	ENG1007	I	3	912703312	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Blindern videregående skole			4,2	25	4,3	303
2	3	ENG1007	I	3	912001709	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Edvard Munch videregående skole			*	*	5,1	319
2	3	ENG1007	I	3	873626372	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Eikelund videregående skole					4,6	8
2	3	ENG1007	I	3	974590999	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Elvebakken videregående skole			5,0	29	5,4	408
2	3	ENG1007	I	3	974590867	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Foss videregående skole			4,6	11	5,0	305
2	3	ENG1007	I	3	995821664	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Fyrstikkalleen skole			4,4	20	4,5	210
2	3	ENG1007	I	3	974590891	Engelsk vg1 studieforberedende utdanningsprogram	Hele landet	Oslo	Hartvig Nissens skole			4,2	9	4,7	237
